10/9/2015 12:54:1 AM--> ERROR: No Arduinos detected!
10/9/2015 12:54:1--> Throttle connected
10/9/2015 12:54:1--> Joystick connected
10/9/2015 12:54:1--> Throttle connected
10/9/2015 12:54:1--> Joystick connected
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:3 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:4 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
10/9/2015 12:54:5 AM --> T7F7F7F7F5A5A5A5A
